sample_id,z,y
1150724,0,-37.99054927297654
925058,1,-31.424779167223402
897540,1,-36.7366795015644
2419534,1,-21.936175672689533
1826224,1,-27.034687823631536
3233969,1,-24.129248977714024
424396,1,-31.092954844361987
2925758,0,-38.16436091049844
3465410,0,-36.621381657986326
1893566,0,-31.920371385221674
723418,1,-33.06352187016404
296916,1,-31.836281570140795
3425655,1,-24.232329338986688
2470912,1,-9.53272500622761
1385379,0,-42.27521455821393
3504448,0,-33.13531600893654
1838410,1,-33.40118626976245
2757173,0,-29.65581390682364
1169979,1,-29.148348442079314
298709,0,-35.78593410906548
324920,1,-35.14732499824343
2995175,0,-23.670584734890944
1896272,1,-30.13893588098983
1104258,1,-19.450016294750966
3120355,1,-33.64337636498728
543334,0,-43.949715656258256
316324,1,-37.397904497430076
1691756,1,-22.523555929100926
1401316,0,-38.012893548710665
2188702,1,-20.926621307611047
1013338,0,-33.457697674155206
1331159,0,-37.31453741559281
1316713,1,-27.622235284581112
566834,1,-35.80522195386419
3250853,1,-28.64730128706698
2454779,0,-37.401986355451584
2494629,1,-32.935559058969936
984769,0,-37.53677523036538
709660,1,-31.8175640457195
1474990,0,-36.1317264678934
3480762,0,-32.60451823453943
3865839,0,-35.22896345605467
2934050,0,-34.237150837509944
3927034,0,-37.04416904827289
2937058,0,-31.086219396675794
1395276,1,-23.636481651182155
2596773,1,-23.583585716894195
1367269,1,-44.765059703494295
986409,1,-30.764533875351884
1132610,1,-39.17387269558377
3027802,0,-28.40561848444177
2057008,0,-10.763986926781278
3658725,1,-28.59388461676716
2731468,1,-36.10101648954077
1522019,1,-40.41569062616464
1034225,1,-31.641241684781818
1468049,1,-32.42131660735758
2580323,0,-46.06309188087145
1156254,0,-12.677827379208209
1083243,1,-26.451873666672565
1892625,1,-29.990155169820333
588038,0,-36.808907116661274
3246551,1,-43.5475472814189
3687205,1,-33.82489266107946
724774,1,-36.83799456511041
2681061,1,-23.015701186367597
3301521,0,-33.14577838894474
692474,1,-29.414589327270903
727736,1,-31.773810643892595
1206025,1,-30.088047942742843
2574165,1,-50.65831707094184
1749237,1,-30.734361726074965
969248,1,-43.81301159741386
2534964,1,-32.882805269539496
3884029,1,-33.09807038676053
3771650,1,-32.6087727717865
295448,1,-35.03802603042015
694978,1,-55.00946349335515
1211986,0,-36.55000327874668
478978,0,-32.75208500955495
3103324,1,-36.791787996825924
3359229,1,-29.407392333053238
3876125,1,-29.85424755594173
1325274,1,-34.70629574896803
2109421,0,-34.04532562450178
3311490,1,-27.38804244133891
2977834,1,-40.48666073967583
3036623,1,-35.45627996722357
3875454,0,-38.571824076801974
3225201,1,-38.84493128798103
1514343,0,-36.42174790984012
1073909,0,-21.631982144415684
3651260,1,-36.62711058791364
264098,0,-36.740302185082584
1346153,0,-33.67069973646394
2545146,1,-32.31293049520899
2744172,1,-31.752541917449765
3290314,0,-38.95538076317436
1234635,1,-30.169931125172667
3782665,0,-33.4956428948373
1484427,0,-36.36469111769634
2798127,1,-31.633267876076218
1724925,0,-36.46943025157119
2838510,1,-32.153029531883206
3192394,1,-33.36076890200495
625651,1,-47.23431108770701
419657,1,-31.85254481888489
1121701,1,-15.658271029291797
2232999,0,-46.88307703781014
1085602,0,-32.061895148346515
1318065,0,-41.896789952689424
696069,1,-28.625012539221014
1705272,1,-21.64241761902991
3672483,0,-37.33331135705133
1308970,0,-15.17801984666049
896263,0,-50.326551194916846
3842369,1,-31.469977089103157
3371373,0,-46.52628980347114
1341342,1,-40.581491911807944
2800352,0,-31.768440930243827
1621316,0,-29.849137900397267
1063396,0,-27.56909395149152
3942403,1,-37.04842800497211
2228725,0,-22.429680513977853
691240,1,-30.633960994851684
1890262,0,-36.083216703135996
546168,0,-37.349714813355405
879366,0,-32.470213912440336
2546717,0,-41.11408382438585
676669,1,-36.3975848112911
2033774,1,-21.184233318802015
1206823,0,-24.64350281642367
2222178,1,-25.17654946541041
621727,1,-38.977708633241875
1980021,0,-30.69448916240744
959767,1,-35.85816068498975
3497448,1,-32.02691703836825
1619173,0,-28.068204764890258
424282,1,-37.215490164700036
374566,1,-38.69058163399548
2470196,0,-30.309204089061474
3873820,1,-39.131687723270964
2031464,1,-29.10924887792026
3327923,0,-31.2644147534461
2815613,1,-29.898917894920398
735603,1,-37.08016152170469
3883484,1,-41.48895821396855
1219171,1,-31.99264812167696
1579900,0,-34.37018786088029
1207995,0,-36.7336393017678
1889610,1,-25.610765914363146
3923286,0,-38.061258251156886
3909160,0,-42.46121502850409
967797,0,-40.414953411118894
2161859,0,-48.066618551613296
501489,1,-27.226560064152448
371699,1,-31.050633420017807
3877108,0,-42.193084049513494
2499616,1,-27.365929232310073
909470,0,-37.651543289831615
2243148,1,-31.560739936365813
1784093,1,-25.427419450007605
2817144,0,-33.83214143496748
2497035,1,-51.70683140044181
1308025,1,-33.02710304629293
309873,1,-27.416167117086484
2601051,1,-10.251226009060431
1089786,1,-15.519729955543134
1252185,1,-39.77818336247484
326813,1,-37.987857925318
1400536,0,-36.92360784987623
1020978,1,-35.88286711817167
3370023,1,-37.57329827227501
1435445,0,-22.075511402386184
203661,1,-32.11222583939127
2743940,0,-40.01895064535799
992736,1,-40.409127378266305
1730690,1,-37.29698607409417
3462019,0,-32.98838597843196
669215,1,-39.68184939582458
1270757,1,-39.813635693372575
2455640,0,-32.59302702530912
985379,1,-35.32281493660891
3030555,0,-38.4626232050855
2576186,0,-37.655968422002026
1454260,0,-37.619693437881075
1194677,1,-32.20348847901552
2043308,0,-29.247086518546567
3722850,1,-50.11930776478991
1167087,1,-45.74098309054735
1298821,0,-35.406976396889476
3876172,1,-36.17701614754745
2932113,1,-24.80402638914214
3106939,1,-46.18151975345783
245369,0,-39.17995047048803
1701678,0,-22.98285204402355
2746747,0,-14.722606969569753
2931749,1,-35.871246494887075
2874227,1,-37.45576147325684
3310969,1,-36.59412770852821
403436,0,-45.11457739035599
1991868,0,-14.426521548942205
3359943,1,-54.4283998689761
241766,0,-26.179710343311843
2968850,0,-41.102913253027936
2691208,0,-28.941402601744723
2504105,1,-19.315003345768368
3255449,1,-47.45209992955941
1558580,0,-34.387387761138605
2989530,0,-30.0503793261466
3801249,1,-31.683317565691684
374404,1,-32.31126674915866
3033813,0,-36.3419153568068
3198697,1,-40.21874986322416
406838,0,-39.87032288698657
3763436,0,-31.635179641875133
913246,0,-32.09586859114378
3744819,0,-29.65519503573966
2848909,1,-35.13628297798595
937404,1,-34.63382652365899
1615848,0,-40.821795384380046
427335,1,-34.8108343935937
3683039,1,-40.89827909768273
3800224,1,-20.984897565473577
2271614,0,-35.123820023960135
977844,0,-36.302482054386914
3900433,0,-49.959304428461856
2220061,0,-36.47305632009879
317927,1,-32.430855623625305
1244260,1,-44.16696336704748
803574,1,-34.054865033425095
3107474,1,-29.43368620636164
3203263,0,-36.61600736364569
1856435,0,-46.33315503764373
3288429,0,-31.87465468716697
933032,1,-24.575208259885393
3809751,1,-30.794861265692408
1437309,0,-32.99523736013368
657684,1,-43.523106040467674
2177047,0,-27.843124606785405
2778982,1,-38.87805829708069
1309678,1,-40.093729929086095
864232,1,-34.9491508758306
2684460,1,-46.32004297917508
3391504,1,-32.59110296202141
3089524,0,-45.2470673519095
942869,0,-34.933171422477
2792579,1,-33.34065475036324
2662135,0,-32.15461906839417
238856,0,-34.39000463180092
1291560,1,-31.846022535028894
2185640,0,-42.83732992845444
3914960,1,-29.49989245262158
1575023,0,-36.69631373507988
2210050,0,-36.43734239924599
1353088,0,-32.777899715948315
3862122,1,-38.88638217059425
3192185,1,-28.514953581783097
3754825,0,-36.31332913216569
1773362,0,-37.403227386848044
1529904,1,-43.62922905787298
3685936,1,-26.12796688448036
476598,0,-36.286064551014306
901400,1,-33.15421605934456
2920363,1,-6.726444567140966
862119,1,-28.74027823087011
2645642,1,-29.126015990848785
1451175,1,-27.92880099130155
900036,1,-48.006331898702626
3901013,0,-37.86144741750914
3007323,1,-33.536251361240886
1648759,1,-55.79924552963959
1385362,0,-29.50046357447063
3841109,0,-43.46809325046183
1563582,0,-30.414086869648433
3714898,0,-40.76386235529392
456105,1,-36.693666948184244
535045,0,-32.93927041927966
555746,1,-37.03073339241555
435155,0,-38.81063802343795
1054978,1,-22.951437793481215
2903501,1,-25.865282797465564
569349,1,-32.279142616305755
1480637,0,-45.68474794830469
3545295,0,-33.34195540680652
3651594,0,-32.97554407943946
2467270,1,-27.56651451522476
609348,1,-12.347825777052382
260632,0,-33.18843464584437
3439092,1,-35.89143062229659
515274,1,-52.26984074673257
2700252,1,-33.336728234631096
2557180,0,-33.449510612811444
2829322,0,-34.908355851867825
653744,1,-43.40715523931016
2719821,1,-40.355670178781324
1331642,1,-33.27870503294491
2541018,1,-13.390026191213822
1984856,0,-31.3093661844072
2789128,1,-32.90461216852358
2482248,0,-32.12509625070879
1815725,0,-30.531948578720847
325761,0,-6.801851952485445
3427590,1,-40.467383953508396
3156608,1,-31.30416701743883
2257447,1,-40.834233133942355
240096,0,-36.743282338000334
2756150,1,-42.0523310663076
1034731,1,-51.264290912018346
1033188,1,-43.465020006046466
896529,0,-40.57596293485443
626668,1,-50.79414964306245
3321580,1,-40.24553197816847
2971905,1,-28.943511828832037
439851,0,-41.01656194558627
1789870,1,-24.901058242006016
2045973,0,-33.023808493915375
2459471,1,-32.25000784469801
3757094,1,-49.141465273167334
1391818,0,-31.08366536286896
389192,1,-40.07717054073803
1158406,0,-36.7675041839407
3724027,0,-37.71390098407732
1467890,0,-33.75822493474869
3911864,1,-37.41528508290831
3874199,0,-45.08910137556289
972366,0,-10.536128208647833
1862303,1,-33.02643311115726
2824731,0,-42.665335336549504
705908,0,-36.562154053587726
3952169,0,-42.31244975305961
3711659,1,-33.04849569871558
1486193,1,-35.60734791433734
1876396,1,-30.64331723590517
1845189,1,-42.232736192411764
3469401,0,-37.19847307376941
1945810,1,-36.78957439070108
2453881,1,-43.88348816182708
3873222,0,-34.7386737571885
444930,1,-31.942977554042745
2562283,0,-39.46769882722353
1160907,1,-34.45778820895711
2970968,0,-31.10621309101321
2931973,0,-29.401141549459528
2250463,1,-44.665933011109594
2759239,1,-36.695453467141725
886311,1,-33.04730809281739
3430822,1,-38.22500594546992
516800,0,-37.01282153001637
3224143,1,-31.92496939272115
3793013,1,-38.67277707767475
3013194,1,-33.61985954240337
3086839,1,-32.94244892763356
1727692,0,-37.57443947380516
2868043,1,-18.554286509362317
715313,1,-36.67889080632245
2206874,0,-36.05613418025154
309735,1,-38.9599853357564
237799,1,-27.45646772123323
1233705,1,-33.07993991748087
2805285,1,-44.010227147215666
3721925,0,-42.39020518798713
2539027,1,-35.426281771581905
1338110,0,-34.821454857549824
1212443,1,-35.91557345295643
2621096,1,-10.569429633989555
2118141,1,-31.202990894407343
1343442,1,-35.877862545684906
1021934,0,-32.801657420785624
3956090,1,-29.63310661741418
2013572,1,-42.42721362125
2516670,0,-33.51508375625488
3408899,1,-30.410430409671488
751853,1,-44.736427494371036
2709497,1,-14.275528438156044
1090253,0,-30.533659388264123
3098612,0,-20.388594186447797
3699202,1,-40.19903182593412
3678389,1,-44.0494701146425
3142322,0,-30.516777260350644
3780354,1,-40.58668559115929
813152,0,-22.122528893834843
1768532,1,-21.669200374182832
2284089,1,-34.7063353118206
847441,1,-42.34166195440532
3088386,0,-37.72651247624364
3702230,0,-34.049933731304684
2914444,1,-33.28146645713958
2458793,1,-33.85782523260287
2426932,0,-32.04112530015769
3266792,1,-36.47163843149126
1432142,0,-37.156349168947834
201177,0,-19.424063364615932
800152,1,-31.583393764822638
2645792,0,-42.913684480478736
3469823,0,-41.6907606839737
1878342,0,-35.532442034411176
1954809,1,-37.769534736805625
1677375,0,-29.47842277144795
2817966,0,-34.60494003050023
1721014,0,-29.99066955731653
3367962,0,-49.185797433894905
3273128,0,-33.931079329306876
310787,1,-35.78902466073486
585832,0,-44.96482132615682
2661560,0,-26.475992571661525
2905245,1,-29.02553929453826
3430825,0,-41.41822478597941
3328179,1,-37.63245865603401
1712178,1,-21.514961110522226
245975,1,-34.70055714319917
3282215,1,-36.32538659497717
1023426,0,-40.887610263758695
3702684,1,-25.136117811660423
3196389,0,-41.17619269796972
3183804,1,-27.227121787687118
1108248,1,-30.803624480589107
276635,1,-32.16033779934545
727326,0,-28.293732885294308
3520277,0,-29.758489943888232
1028116,1,-43.83982260572731
1560742,1,-43.995302396464766
3736608,1,-29.698435504033128
1982904,0,-37.08913358083863
2219970,1,-39.39407344619593
3413785,0,-32.46219806976057
2186399,0,-43.645724197512564
3517295,1,-42.85871978156619
624172,1,-41.03402101171255
3507590,0,-36.95698698699668
978152,1,-35.71388299300739
2022016,1,-29.09853582851645
2390657,1,-45.52695699436228
1097591,0,-27.922434500045394
250088,0,-40.02035877582581
2262427,0,-42.682084386449525
994413,1,-28.196135762248897
2831191,0,-28.8652248397531
737218,1,-48.06594086363211
1362443,1,-41.30060628850491
1305179,1,-36.25292151277344
3103864,1,-37.661881301377534
2783779,1,-32.59828941636657
423532,1,-28.23879863162466
1351469,1,-43.39529442167544
1489021,1,-392.76382219570684
3704627,0,-26.72072247920564
513339,0,-42.50212557282205
963121,1,-32.16477956705302
3183037,1,-27.961774325371223
737537,1,-23.030035802681663
961905,1,-28.14181373596027
694731,0,-32.10954188914194
2723676,0,-48.54129462603038
1054766,1,-11.532433656878244
1643136,0,-40.94836966279471
3067606,1,-29.28861514143898
2891410,1,-22.2175702823824
3759685,0,-26.636670431749852
2611386,1,-13.171147197155754
1629993,0,-34.46670961013603
2503566,1,-27.776887752446637
424874,1,-28.09067880773638
3132603,0,-44.68498490270278
462666,0,-37.37595478666297
3764408,1,-29.62464789038864
3402543,0,-36.9722893119989
1958457,1,-32.433062396282075
3064702,0,-34.23435029624865
1037026,1,-31.931244483427697
3379603,0,-40.95928171543932
3137830,1,-23.779637938499036
3362458,0,-49.630736153960214
3261775,1,-36.75750983601461
2736834,1,-24.609972963886612
3367722,0,-32.60135260934505
3142999,0,-42.88084429092912
1318681,1,-29.45659741945735
2627436,0,-37.96136353337173
2055501,0,-36.36159080670593
3701663,1,-41.394620511304176
2901653,1,-39.30305719154828
3290513,1,-35.51609935908178
3837757,0,-49.68132095398614
2205343,1,-31.053445222526772
3543025,0,-41.28342519021068
1267635,1,-31.915022296147352
1592993,1,-28.12824981701041
3766075,0,-6.606875613944532
2652374,1,-42.2731882951049
1548538,1,-31.549781390744364
1696574,1,-34.315252957986665
1229118,1,-43.76372583795063
1504572,1,-27.91365916385279
897070,0,-38.01511402586515
2858645,1,-38.805691929172674
866916,1,-9.68768090424249
3486072,1,-31.29064872835259
1229574,0,-37.33386648225521
1054498,1,-12.0262978546906
1954514,0,-20.947154241317378
952359,1,-42.466874415704105
