estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
0.0297372719625844,-0.246514984855089,0.285275030799832,1,auDRI,all,4302,0.125600495893383,1
-0.0617453811318352,-0.236100241536242,0.112609479272572,1,AIPW,all,4302,0.125600495893383,1
-0.359831314720025,-0.787180900208884,-0.0699675270872167,2,auDRI,all,4302,0.125600495893383,1
-0.649538422327189,-0.885689465949917,-0.413387378704461,2,AIPW,all,4302,0.125600495893383,1
-0.534049229067198,-0.681101615898987,-0.376576009667279,3,auDRI,all,4302,0.125600495893383,1
-0.566444871666184,-0.673694105216909,-0.45919563811546,3,AIPW,all,4302,0.125600495893383,1
0.0597898645405904,-0.172147270546265,0.271663095211497,1,auDRI,all,4302,0.125600495893383,2
-0.130286223709361,-0.303637430210376,0.0430649827916538,1,AIPW,all,4302,0.125600495893383,2
-0.296987487168497,-0.685342979473757,-0.0317766598369093,2,auDRI,all,4302,0.125600495893383,2
-0.73814991981118,-0.963865092541964,-0.512434747080396,2,AIPW,all,4302,0.125600495893383,2
-0.765470472501764,-0.904393864456027,-0.618607733908935,3,auDRI,all,4302,0.125600495893383,2
-0.783553377562352,-0.891746461534937,-0.675360293589767,3,AIPW,all,4302,0.125600495893383,2
0.00563199023253151,-0.219980406774448,0.213313283627597,1,auDRI,all,4302,0.125600495893383,3
0.0244344994346592,-0.164312353489878,0.213181352359197,1,AIPW,all,4302,0.125600495893383,3
-0.592966101756045,-0.80644645318664,-0.378168916868944,2,auDRI,all,4302,0.125600495893383,3
-0.638132180575405,-0.882075010298583,-0.394189350852227,2,AIPW,all,4302,0.125600495893383,3
-0.533781241550915,-0.671173002766927,-0.392558336440011,3,auDRI,all,4302,0.125600495893383,3
-0.593956136763348,-0.703531477536261,-0.484380795990435,3,AIPW,all,4302,0.125600495893383,3
-0.130826194278015,-0.329430831846326,0.0601259818031768,1,auDRI,all,4302,0.125600495893383,4
-0.182172127711055,-0.341046736147505,-0.0232975192746037,1,AIPW,all,4302,0.125600495893383,4
-0.670319775359193,-0.876726935638482,-0.465551147222301,2,auDRI,all,4302,0.125600495893383,4
-0.779231763783004,-0.995709482255594,-0.562754045310414,2,AIPW,all,4302,0.125600495893383,4
-0.741438122623373,-0.877460536525564,-0.60666243625207,3,auDRI,all,4302,0.125600495893383,4
-0.746404345759987,-0.853773018101196,-0.639035673418777,3,AIPW,all,4302,0.125600495893383,4
-0.0357874967698265,-0.376096961731382,0.311905680633446,1,auDRI,all,4302,0.125600495893383,5
-0.158979344228055,-0.331887076765084,0.0139283883089746,1,AIPW,all,4302,0.125600495893383,5
-0.37707170817469,-0.676346735421568,-0.147620423021367,2,auDRI,all,4302,0.125600495893383,5
-0.747094262143086,-0.972448006628635,-0.521740517657536,2,AIPW,all,4302,0.125600495893383,5
-0.729869257434498,-0.867363968618324,-0.584988849831001,3,auDRI,all,4302,0.125600495893383,5
-0.766361113879391,-0.876142446139142,-0.65657978161964,3,AIPW,all,4302,0.125600495893383,5
0.0535331740645214,-0.197980713568794,0.29858937773534,1,auDRI,all,4302,0.125600495893383,6
-0.0203924721670384,-0.20425155688508,0.163466612551003,1,AIPW,all,4302,0.125600495893383,6
-0.356783799883842,-0.635670233251076,-0.0882686613458586,2,auDRI,all,4302,0.125600495893383,6
-0.582795305714643,-0.82731182649251,-0.338278784936776,2,AIPW,all,4302,0.125600495893383,6
-0.6294009607035,-0.785632240213884,-0.47077416062032,3,auDRI,all,4302,0.125600495893383,6
-0.663505299681798,-0.772320337459792,-0.554690261903804,3,AIPW,all,4302,0.125600495893383,6
-0.345150735532392,-0.652533377515848,0.0346861939436645,1,auDRI,all,4302,0.125600495893383,7
-0.0673157422567203,-0.24273499975679,0.108103515243349,1,AIPW,all,4302,0.125600495893383,7
-0.439334735530462,-0.743129281737679,-0.187920062303954,2,auDRI,all,4302,0.125600495893383,7
-0.643454094105107,-0.89132423568993,-0.395583952520285,2,AIPW,all,4302,0.125600495893383,7
-0.613299513941242,-0.750397739166738,-0.478963925615343,3,auDRI,all,4302,0.125600495893383,7
-0.617671108797273,-0.725879819942048,-0.509462397652498,3,AIPW,all,4302,0.125600495893383,7
-0.0476570644947238,-0.260994893830598,0.143132486440926,1,auDRI,all,4302,0.125600495893383,8
-0.11938861000199,-0.275502539882503,0.0367253198785228,1,AIPW,all,4302,0.125600495893383,8
-0.324898278956992,-0.690899358151218,-0.0829015119742857,2,auDRI,all,4302,0.125600495893383,8
-0.742013982649839,-0.960786447245613,-0.523241518054065,2,AIPW,all,4302,0.125600495893383,8
-0.677759925607854,-0.824580642863224,-0.539444055259318,3,auDRI,all,4302,0.125600495893383,8
-0.67077260485232,-0.77968744186589,-0.56185776783875,3,AIPW,all,4302,0.125600495893383,8
-0.087609568264411,-0.369463637671477,0.158112702272795,1,auDRI,all,4302,0.125600495893383,9
-0.196826809619264,-0.357553164994183,-0.0361004542443462,1,AIPW,all,4302,0.125600495893383,9
-0.340403198068063,-0.784346489029142,-0.0799998595397481,2,auDRI,all,4302,0.125600495893383,9
-0.790228469014183,-1.01307497381817,-0.5673819642102,2,AIPW,all,4302,0.125600495893383,9
-0.773124330999124,-0.905433063113321,-0.653072473221528,3,auDRI,all,4302,0.125600495893383,9
-0.810224211748887,-0.917150135781631,-0.703298287716143,3,AIPW,all,4302,0.125600495893383,9
0.0870880044741363,-0.250358771921286,0.342698589243582,1,auDRI,all,4302,0.125600495893383,10
0.205884514914538,0.0124227714261507,0.399346258402926,1,AIPW,all,4302,0.125600495893383,10
-0.445896525833219,-0.730310064894527,-0.211608168418272,2,auDRI,all,4302,0.125600495893383,10
-0.519224007711982,-0.771907316937954,-0.266540698486011,2,AIPW,all,4302,0.125600495893383,10
-0.462599826216475,-0.61170298853639,-0.3124916379832,3,auDRI,all,4302,0.125600495893383,10
