estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
3.93923853863425,3.68222319468971,4.14061466164165,1,auDRI,all,672,4,1
3.87880782155993,3.68457350370456,4.07304213941529,1,AIPW,all,672,4,1
4.0087955022187,3.75720419185833,4.23507950984278,2,auDRI,all,672,4,1
3.97190932703699,3.74531329418793,4.19850535988605,2,AIPW,all,672,4,1
3.89324028418019,3.67086413831317,4.12318090034593,3,auDRI,all,672,4,1
3.8731644165346,3.65632752985144,4.09000130321776,3,AIPW,all,672,4,1
3.94896654025223,3.72992658169705,4.1709308500604,1,auDRI,all,672,4,2
4.03877053500283,3.84452170104732,4.23301936895834,1,AIPW,all,672,4,2
3.93506806587626,3.70730149601262,4.16967362270299,2,auDRI,all,672,4,2
4.04289212097167,3.84072049898031,4.24506374296302,2,AIPW,all,672,4,2
4.03207954500022,3.82994613939111,4.22916406712278,3,auDRI,all,672,4,2
4.04091183610636,3.83698244085222,4.24484123136049,3,AIPW,all,672,4,2
4.04834268956646,3.83958066412537,4.251362411098,1,auDRI,all,672,4,3
4.05962067485065,3.86191516015587,4.25732618954543,1,AIPW,all,672,4,3
4.06806711434008,3.83884034726789,4.31114669118454,2,auDRI,all,672,4,3
4.10352852785908,3.87672449545317,4.33033256026499,2,AIPW,all,672,4,3
4.08419093287216,3.87426360586286,4.28028569676278,3,auDRI,all,672,4,3
4.07084090503558,3.86562439109948,4.27605741897168,3,AIPW,all,672,4,3
4.16749811494535,3.87350917229508,4.45039745140409,1,auDRI,all,672,4,4
4.1776274669799,3.93567446323273,4.41958047072706,1,AIPW,all,672,4,4
4.22990714359438,3.91075154894498,4.56078351102318,2,auDRI,all,672,4,4
4.23635132137704,3.95476794687717,4.5179346958769,2,AIPW,all,672,4,4
4.18971575754611,3.95735187114948,4.41751487954535,3,auDRI,all,672,4,4
4.180206897906,3.93650733290823,4.42390646290378,3,AIPW,all,672,4,4
4.1612756252172,3.86002686965406,4.44000771844203,1,auDRI,all,672,4,5
4.16340221199637,3.89519309700853,4.43161132698422,1,AIPW,all,672,4,5
4.23210423031295,3.90152658812419,4.56474133652097,2,auDRI,all,672,4,5
4.24059024232064,3.93157536318012,4.54960512146117,2,AIPW,all,672,4,5
4.17132411179142,3.87708898512099,4.4651386208095,3,auDRI,all,672,4,5
4.16960598830792,3.89047146133857,4.44874051527727,3,AIPW,all,672,4,5
4.03030369916899,3.80507854702111,4.26632172098894,1,auDRI,all,672,4,6
4.01673814131894,3.81892419333172,4.21455208930615,1,AIPW,all,672,4,6
4.16019010803729,3.8687934875759,4.47702305361204,2,auDRI,all,672,4,6
4.03031847575955,3.79359957792362,4.26703737359549,2,AIPW,all,672,4,6
4.05227747948448,3.85852422150993,4.24521565745905,3,auDRI,all,672,4,6
4.0661189665055,3.86168979875329,4.27054813425771,3,AIPW,all,672,4,6
3.74850919649002,3.53567421358616,3.95773265106027,1,auDRI,all,672,4,7
3.75502728947205,3.55464079045731,3.95541378848678,1,AIPW,all,672,4,7
3.78279782691111,3.55593681002336,4.00369155142324,2,auDRI,all,672,4,7
3.75908842188652,3.54951945443977,3.96865738933327,2,AIPW,all,672,4,7
3.7507220144688,3.55755498572143,3.94402336095688,3,auDRI,all,672,4,7
3.75379154067231,3.54306254449531,3.96452053684932,3,AIPW,all,672,4,7
3.68562219743613,3.40200329487043,3.95974908517226,1,auDRI,all,672,4,8
3.67888181854214,3.43489521059537,3.92286842648891,1,AIPW,all,672,4,8
3.65383929546385,3.33321262678555,3.97148560382754,2,auDRI,all,672,4,8
3.71782083835288,3.43838189267615,3.9972597840296,2,AIPW,all,672,4,8
3.75311762721508,3.5032628769833,3.99064253013496,3,auDRI,all,672,4,8
3.69780546074823,3.45017653054873,3.94543439094772,3,AIPW,all,672,4,8
10.1224778042993,7.84071922531906,12.1024568575438,1,auDRI,all,672,4,9
10.2830082728903,8.20894203105322,12.3570745147275,1,AIPW,all,672,4,9
10.5654601938318,8.36377854589517,12.9173715980599,2,auDRI,all,672,4,9
10.5875770981793,8.18980920674546,12.9853449896132,2,AIPW,all,672,4,9
10.2415160432678,8.19311296710466,12.2512372317807,3,auDRI,all,672,4,9
10.1465075115707,8.10084450082504,12.1921705223164,3,AIPW,all,672,4,9
4.62613855490871,3.90244982812852,5.31334881143695,1,auDRI,all,672,4,10
4.64343364350916,3.94420112208639,5.34266616493192,1,AIPW,all,672,4,10
4.54882121937863,3.73153681287945,5.32256558557939,2,auDRI,all,672,4,10
4.64886734290096,3.84809892340311,5.44963576239881,2,AIPW,all,672,4,10
4.6912743776108,3.97346319346886,5.33846348447239,3,auDRI,all,672,4,10
4.64436549522112,3.94290560910022,5.34582538134202,3,AIPW,all,672,4,10
3.9366807837527,3.65887958028866,4.19417217321985,1,auDRI,all,672,4,11
3.96366772354868,3.70897037636727,4.2183650707301,1,AIPW,all,672,4,11
3.91250432162709,3.59214106744923,4.22595122232854,2,auDRI,all,672,4,11
3.96690090049798,3.67106900667048,4.26273279432548,2,AIPW,all,672,4,11
3.96517873375511,3.73120526210968,4.21293123571406,3,auDRI,all,672,4,11
3.97558133286285,3.71097359399664,4.24018907172906,3,AIPW,all,672,4,11
4.03269776298585,3.61268978140235,4.41266467835076,1,auDRI,all,672,4,12
4.10397295079484,3.71256390701752,4.49538199457217,1,AIPW,all,672,4,12
3.97931973934372,3.46109187231156,4.47597513863838,2,auDRI,all,672,4,12
4.0741111430943,3.57374628742446,4.57447599876414,2,AIPW,all,672,4,12
4.10445965431869,3.72636838535733,4.50287805827575,3,auDRI,all,672,4,12
4.10135751299255,3.70581087182123,4.49690415416387,3,AIPW,all,672,4,12
13.1587078347226,10.4234972364139,15.8027354619615,1,auDRI,all,672,4,13
13.2142966302188,10.6226524551203,15.8059408053173,1,AIPW,all,672,4,13
14.0966698098966,11.0773071160344,16.924168295145,2,auDRI,all,672,4,13
14.3318131255426,11.4836830478159,17.1799432032694,2,AIPW,all,672,4,13
13.320704737671,10.6998155510812,15.8462767890767,3,auDRI,all,672,4,13
13.1933809226302,10.5818067635608,15.8049550816995,3,AIPW,all,672,4,13
3.83611190640807,3.56424309250983,4.06662959189478,1,auDRI,all,672,4,14
3.83207517305963,3.63385595719571,4.03029438892354,1,AIPW,all,672,4,14
3.82304351116996,3.55568381031265,4.07871815909096,2,auDRI,all,672,4,14
3.83004576676538,3.62848458466244,4.03160694886831,2,AIPW,all,672,4,14
3.82051838077223,3.60716126843104,4.02325722425804,3,auDRI,all,672,4,14
3.81900457265679,3.60621971782529,4.03178942748829,3,AIPW,all,672,4,14
4.11968388956707,3.82371289100993,4.38252357884106,1,auDRI,all,672,4,15
4.12233392037133,3.86790944877251,4.37675839197015,1,AIPW,all,672,4,15
4.04343351088386,3.71587828255215,4.42455957908645,2,auDRI,all,672,4,15
4.07190963480898,3.77204025562318,4.37177901399478,2,AIPW,all,672,4,15
4.13763625041947,3.86670289794945,4.38972761007087,3,auDRI,all,672,4,15
4.11663160907676,3.85389700637306,4.37936621178047,3,AIPW,all,672,4,15
4.6250120350739,4.39171495633771,4.86586041842595,1,auDRI,all,672,4,16
4.55445235612297,4.34875666818455,4.76014804406139,1,AIPW,all,672,4,16
4.68042201837271,4.43337660365486,4.93041819777345,2,auDRI,all,672,4,16
4.63057905831126,4.37821346934833,4.88294464727419,2,AIPW,all,672,4,16
4.64158798517133,4.446597218892,4.84428659602658,3,auDRI,all,672,4,16
4.61225165949993,4.4065226165216,4.81798070247825,3,AIPW,all,672,4,16
3.75643972835767,3.35793624463135,4.17276034721682,1,auDRI,all,672,4,17
3.72487213997663,3.32615434983609,4.12358993011718,1,AIPW,all,672,4,17
3.65224717364029,3.17879077971458,4.10355458840644,2,auDRI,all,672,4,17
3.67615507524815,3.2062111183266,4.1460990321697,2,AIPW,all,672,4,17
3.72574323401868,3.31996572475431,4.15774742468922,3,auDRI,all,672,4,17
3.7133196365058,3.30550461941151,4.12113465360009,3,AIPW,all,672,4,17
3.56243981312395,3.24849973063664,3.8893806320398,1,auDRI,all,672,4,18
3.5995832307151,3.29633816633046,3.90282829509974,1,AIPW,all,672,4,18
3.52183118994917,3.12929158951839,3.92356237400675,2,auDRI,all,672,4,18
3.53618026710078,3.17144000676968,3.90092052743189,2,AIPW,all,672,4,18
3.59738520111539,3.2944301644954,3.90771201885669,3,auDRI,all,672,4,18
3.61780247370779,3.31312775910734,3.92247718830824,3,AIPW,all,672,4,18
3.8965644094956,3.55032888575915,4.23622148803649,1,auDRI,all,672,4,19
3.93734627219327,3.61998666742478,4.25470587696175,1,AIPW,all,672,4,19
3.89942211667985,3.4811687980985,4.32573268318946,2,auDRI,all,672,4,19
3.93861466467252,3.53926520423407,4.33796412511097,2,AIPW,all,672,4,19
3.96227553757591,3.63506106457305,4.30094024413282,3,auDRI,all,672,4,19
3.94078438083236,3.6088035408415,4.27276522082323,3,AIPW,all,672,4,19
4.05550099155355,3.83978688382521,4.25599251334058,1,auDRI,all,672,4,20
4.10303838171331,3.91377942783272,4.2922973355939,1,AIPW,all,672,4,20
4.08675876669069,3.82137363367334,4.34960516572382,2,auDRI,all,672,4,20
4.21680976602559,3.9830975188225,4.45052201322868,2,AIPW,all,672,4,20
4.05834611405784,3.86032690306082,4.2349788324157,3,auDRI,all,672,4,20
4.08220894329211,3.88421606867018,4.28020181791404,3,AIPW,all,672,4,20
2.70003515211471,1.94366596201247,3.47544260539931,1,auDRI,all,672,4,21
2.72765236886765,1.97334566980407,3.48195906793122,1,AIPW,all,672,4,21
2.63613979856175,1.80482381311762,3.46510120457093,2,auDRI,all,672,4,21
2.68542642409004,1.82075306696487,3.55009978121521,2,AIPW,all,672,4,21
2.72448331660644,1.90831633500046,3.44068546571107,3,auDRI,all,672,4,21
2.72019470532919,1.95996769892612,3.48042171173225,3,AIPW,all,672,4,21
4.01804051694079,3.77624514650877,4.26191185577077,1,auDRI,all,672,4,22
4.05977117066111,3.83621845566719,4.28332388565503,1,AIPW,all,672,4,22
4.03843602917008,3.76148643092427,4.29222009108743,2,auDRI,all,672,4,22
4.07780392295341,3.8416993854373,4.31390846046953,2,AIPW,all,672,4,22
4.11163455996192,3.87855391221141,4.34884608232109,3,auDRI,all,672,4,22
4.10444054197471,3.86038388094491,4.3484972030045,3,AIPW,all,672,4,22
4.36080806478414,4.03628379470651,4.64452691998081,1,auDRI,all,672,4,23
4.30666270998276,4.00674634938254,4.60657907058297,1,AIPW,all,672,4,23
4.38600717877799,4.06385761799939,4.71237739441942,2,auDRI,all,672,4,23
4.28593823894486,3.92674211627077,4.64513436161894,2,AIPW,all,672,4,23
4.3110523027789,4.00900086440445,4.62826984844994,3,auDRI,all,672,4,23
4.32053544599784,4.01097427575688,4.63009661623879,3,AIPW,all,672,4,23
3.83792940080982,3.32365948282198,4.44002188129321,1,auDRI,all,672,4,24
3.95586576065354,3.44279288480701,4.46893863650007,1,AIPW,all,672,4,24
3.62936604573073,2.8665946859459,4.26812910717108,2,auDRI,all,672,4,24
3.96469219792323,3.34449761697177,4.58488677887469,2,AIPW,all,672,4,24
4.02803049739481,3.53493018845156,4.51805105242967,3,auDRI,all,672,4,24
3.95923830046974,3.45064686078444,4.46782974015503,3,AIPW,all,672,4,24
4.84540528779111,4.55946847695784,5.11449996604008,1,auDRI,all,672,4,25
4.79412756384468,4.52077037034795,5.06748475734142,1,AIPW,all,672,4,25
4.91090029199088,4.50362205112937,5.28838029068321,2,auDRI,all,672,4,25
4.86060080500867,4.49685820493502,5.22434340508232,2,AIPW,all,672,4,25
4.78250450122125,4.47290719014418,5.04114884993022,3,auDRI,all,672,4,25
4.78297304836688,4.50158257549406,5.0643635212397,3,AIPW,all,672,4,25
4.55920103353962,3.26983831144945,5.90671683591028,1,auDRI,all,672,4,26
4.53297469124329,3.22037843293987,5.84557094954671,1,AIPW,all,672,4,26
4.21333707678685,2.72199454530709,5.69106186222589,2,auDRI,all,672,4,26
4.3084061941032,2.76558146449176,5.85123092371464,2,AIPW,all,672,4,26
4.58099857949352,3.20545166142716,5.87544936196388,3,auDRI,all,672,4,26
4.51214596852311,3.19861134844594,5.82568058860027,3,AIPW,all,672,4,26
3.89727039220028,3.66732183077311,4.11840649469382,1,auDRI,all,672,4,27
3.87889221908564,3.65629471735495,4.10148972081633,1,AIPW,all,672,4,27
3.84167842875851,3.57077723421394,4.12403332205203,2,auDRI,all,672,4,27
3.8272659066692,3.57930613431355,4.07522567902485,2,AIPW,all,672,4,27
3.84228520921143,3.61282714857569,4.07058562881544,3,auDRI,all,672,4,27
3.85791240266177,3.62466573531902,4.09115907000453,3,AIPW,all,672,4,27
10.9437609015216,7.46969542765231,14.1866795305124,1,auDRI,all,672,4,28
11.0638316833029,7.70598145150479,14.4216819151011,1,AIPW,all,672,4,28
11.4385024558972,7.38934789128052,15.0202986874499,2,auDRI,all,672,4,28
11.3864315905009,7.39649691622832,15.3763662647736,2,AIPW,all,672,4,28
11.0990055420593,7.76039231279563,14.2003119655626,3,auDRI,all,672,4,28
11.1546276254497,7.88044257461448,14.428812676285,3,AIPW,all,672,4,28
3.96983870811633,3.64847861550665,4.28122682599009,1,auDRI,all,672,4,29
3.81098571671275,3.49962343921454,4.12234799421097,1,AIPW,all,672,4,29
3.92351688207318,3.51954022890085,4.3236174587622,2,auDRI,all,672,4,29
3.74628416369991,3.35680742980532,4.13576089759449,2,AIPW,all,672,4,29
3.82082103335144,3.4918721829126,4.13740610591334,3,auDRI,all,672,4,29
3.77144976754282,3.4498075720061,4.09309196307953,3,AIPW,all,672,4,29
4.31368654551488,3.99201478569422,4.6278485605974,1,auDRI,all,672,4,30
4.33230862180483,4.03665692552017,4.62796031808949,1,AIPW,all,672,4,30
4.37246246562238,4.02437311676614,4.74578431747468,2,auDRI,all,672,4,30
4.43419865974165,4.0841762084451,4.7842211110382,2,AIPW,all,672,4,30
4.36410124505164,4.06080994296433,4.66612213426659,3,auDRI,all,672,4,30
4.34648206347689,4.04736228458473,4.64560184236905,3,AIPW,all,672,4,30
4.35481887502926,4.07694924972232,4.6493580883211,1,auDRI,all,672,4,31
4.41275647257805,4.13012456979737,4.69538837535873,1,AIPW,all,672,4,31
4.45048227203912,4.10538705677772,4.81473379121337,2,auDRI,all,672,4,31
4.50352169832108,4.15989056857322,4.84715282806894,2,AIPW,all,672,4,31
4.40518221824896,4.08584693672154,4.70143146226002,3,auDRI,all,672,4,31
4.42096919269937,4.13087341636902,4.71106496902971,3,AIPW,all,672,4,31
4.01994755668255,3.83120279053553,4.19117687470627,1,auDRI,all,672,4,32
4.02569042355934,3.84190972712677,4.20947111999191,1,AIPW,all,672,4,32
4.02202239017666,3.81759712521634,4.2149040903211,2,auDRI,all,672,4,32
4.02580548834572,3.84017807002668,4.21143290666476,2,AIPW,all,672,4,32
4.03024212151985,3.83428845485416,4.20855771358218,3,auDRI,all,672,4,32
4.03785273607546,3.84184936661088,4.23385610554004,3,AIPW,all,672,4,32
4.16248770761445,3.80181698159344,4.51877965146252,1,auDRI,all,672,4,33
4.23114071500546,3.91721860779648,4.54506282221445,1,AIPW,all,672,4,33
4.11084479568371,3.70696310141127,4.52674371536426,2,auDRI,all,672,4,33
4.2045842073338,3.82835889045767,4.58080952420993,2,AIPW,all,672,4,33
4.20660345883218,3.90025689925429,4.55469374039164,3,auDRI,all,672,4,33
4.21924637090683,3.89821621162301,4.54027653019065,3,AIPW,all,672,4,33
7.11568083037624,4.11022968752682,9.73113345935377,1,auDRI,all,672,4,34
7.03632481366362,4.14470076870839,9.92794885861885,1,AIPW,all,672,4,34
7.47039147243692,4.10504378287206,10.5088792990071,2,auDRI,all,672,4,34
7.65163529600846,4.4492196416601,10.8540509503568,2,AIPW,all,672,4,34
7.09745284113834,4.35401959110247,9.74362011132485,3,auDRI,all,672,4,34
6.97270069269351,4.08292917961531,9.86247220577171,3,AIPW,all,672,4,34
3.65500561484032,3.11482841293343,4.12825297395834,1,auDRI,all,672,4,35
3.73142175173675,3.25785344728354,4.20499005618995,1,AIPW,all,672,4,35
3.59277782936227,3.03264086563325,4.12486809116892,2,auDRI,all,672,4,35
3.70357652563072,3.14785304251052,4.25930000875091,2,AIPW,all,672,4,35
3.7184969090871,3.22097109295525,4.17916850210879,3,auDRI,all,672,4,35
3.71584440974292,3.2357304376027,4.19595838188314,3,AIPW,all,672,4,35
4.73996046012109,4.27157823539327,5.18942704338723,1,auDRI,all,672,4,36
4.84673830634953,4.3930675861957,5.30040902650335,1,AIPW,all,672,4,36
4.82925781274174,4.27469293469007,5.36282578372838,2,auDRI,all,672,4,36
4.79748267957631,4.2132748361677,5.38169052298492,2,AIPW,all,672,4,36
4.82055944922604,4.34662669963225,5.27646164714469,3,auDRI,all,672,4,36
4.85760758003424,4.3990258840362,5.31618927603228,3,AIPW,all,672,4,36
3.32707512996985,2.56625196519365,4.08097260507564,1,auDRI,all,672,4,37
3.38658894494083,2.60760248531109,4.16557540457056,1,AIPW,all,672,4,37
3.20197929168767,2.2619910091146,4.11052834646795,2,auDRI,all,672,4,37
3.28703413174979,2.36314842472921,4.21091983877038,2,AIPW,all,672,4,37
3.4523149541392,2.75382244422442,4.1894225337427,3,auDRI,all,672,4,37
3.40347447377797,2.62530901141842,4.18163993613753,3,AIPW,all,672,4,37
4.18000856477367,3.90758340747725,4.4552889167565,1,auDRI,all,672,4,38
4.1842171416965,3.92967603511976,4.43875824827325,1,AIPW,all,672,4,38
4.20567129562031,3.87885337365988,4.53517574257047,2,auDRI,all,672,4,38
4.21841612615617,3.91576443615751,4.52106781615483,2,AIPW,all,672,4,38
4.15239078827775,3.89716415722542,4.42042179299724,3,auDRI,all,672,4,38
4.16208340739862,3.8968578847647,4.42730893003255,3,AIPW,all,672,4,38
5.934407881357,5.22942896537442,6.66152171230647,1,auDRI,all,672,4,39
6.02779547524872,5.30354629945917,6.75204465103827,1,AIPW,all,672,4,39
6.17277874657602,5.30177187016301,7.02021655264113,2,auDRI,all,672,4,39
6.16277970657873,5.27613958375539,7.04941982940206,2,AIPW,all,672,4,39
6.01022886516018,5.28842076094407,6.69118895198896,3,auDRI,all,672,4,39
6.04077469972179,5.3182238440867,6.76332555535688,3,AIPW,all,672,4,39
4.22079973973581,3.86072136361208,4.55278585212239,1,auDRI,all,672,4,40
4.18755802717308,3.83924183362383,4.53587422072232,1,AIPW,all,672,4,40
