estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
-17.4255240704438,-41.6643805330183,-1.69960741365947,1,auDRI,all,5000,-8.02049411608,1
-16.5616880759571,-19.6543404805661,-13.469035671348,1,AIPW,all,5000,-8.02049411608,1
-29.0368289784568,-64.9750033764914,12.8983215528741,2,auDRI,all,5000,-8.02049411608,1
-22.1217440448953,-57.2583035477586,13.0148154579679,2,AIPW,all,5000,-8.02049411608,1
-20.1408871369958,-45.713601393307,-3.84130004483677,3,auDRI,all,5000,-8.02049411608,1
-17.6335497526471,-21.6736924803183,-13.5934070249759,3,AIPW,all,5000,-8.02049411608,1
0.452351445634724,0.32474897465412,0.571049695157138,1,auDRI,all,5000,0.535027737705,2
0.468284699204446,0.410139323094044,0.526430075314848,1,AIPW,all,5000,0.535027737705,2
0.571971529400098,0.405180935521533,0.877863505471492,2,auDRI,all,5000,0.535027737705,2
0.793746818980885,0.637898317980382,0.949595319981388,2,AIPW,all,5000,0.535027737705,2
0.409701693727428,0.358515284693445,0.448272618287858,3,auDRI,all,5000,0.535027737705,2
0.465628035038677,0.409283009995416,0.521973060081937,3,AIPW,all,5000,0.535027737705,2
-23.2536666837055,-38.4846158301189,-12.4847431588437,1,auDRI,all,5000,-6.50731781658,3
-15.3909968524575,-21.326880827813,-9.4551128771021,1,AIPW,all,5000,-6.50731781658,3
68.9930141841678,-238.864641343551,453.547904801035,2,auDRI,all,5000,-6.50731781658,3
-66.5546528969746,-236.384759916582,103.275454122632,2,AIPW,all,5000,-6.50731781658,3
-23.4281425158444,-37.4866871580834,-14.4888456736671,3,auDRI,all,5000,-6.50731781658,3
-18.8057981540583,-26.3546920139851,-11.2569042941315,3,AIPW,all,5000,-6.50731781658,3
-0.641922428722254,-0.66896314694351,-0.617273996756811,1,auDRI,all,5000,-0.614336341114,4
-0.633159372952089,-0.656573253243065,-0.609745492661114,1,AIPW,all,5000,-0.614336341114,4
-0.64162009555719,-0.666928012837658,-0.614541053665098,2,auDRI,all,5000,-0.614336341114,4
-0.633118125243054,-0.656581209541282,-0.609655040944826,2,AIPW,all,5000,-0.614336341114,4
-0.629988502174184,-0.653548529822517,-0.604233272611283,3,auDRI,all,5000,-0.614336341114,4
-0.629606683751148,-0.653517648720467,-0.605695718781829,3,AIPW,all,5000,-0.614336341114,4
-0.176673727260253,-0.201877878480571,-0.151772508505452,1,auDRI,all,5000,-0.192259093812,5
-0.190459734336612,-0.203090983214597,-0.177828485458627,1,AIPW,all,5000,-0.192259093812,5
-0.20137824566703,-0.225955145617053,-0.175939156809915,2,auDRI,all,5000,-0.192259093812,5
-0.209941522606464,-0.223415013724369,-0.196468031488558,2,AIPW,all,5000,-0.192259093812,5
-0.191827240482685,-0.214584808212228,-0.171889095763163,3,auDRI,all,5000,-0.192259093812,5
-0.193327500347875,-0.214986536147094,-0.171668464548656,3,AIPW,all,5000,-0.192259093812,5
-1.34682968701899,-1.37109812208963,-1.32413027026176,1,auDRI,all,5000,-1.3403812927,6
-1.34448841439797,-1.36450421138279,-1.32447261741315,1,AIPW,all,5000,-1.3403812927,6
-1.35284343333034,-1.38229138123709,-1.31987897675638,2,auDRI,all,5000,-1.3403812927,6
-1.33599248812418,-1.36071450639941,-1.31127046984895,2,AIPW,all,5000,-1.3403812927,6
-1.35170571792511,-1.37517295543358,-1.32911550259405,3,auDRI,all,5000,-1.3403812927,6
-1.34099086456503,-1.36231979410154,-1.31966193502852,3,AIPW,all,5000,-1.3403812927,6
-2.22328481475138,-2.59083257332903,-1.80984558246835,1,auDRI,all,5000,-4.33163073969,7
-2.196690763251,-2.5714921207272,-1.82188940577481,1,AIPW,all,5000,-4.33163073969,7
-2.2341800692559,-2.65243918519596,-1.76025379306421,2,auDRI,all,5000,-4.33163073969,7
-2.06143265772262,-2.47482269787967,-1.64804261756558,2,AIPW,all,5000,-4.33163073969,7
-2.21121037808943,-2.55448150632702,-1.81844740243118,3,auDRI,all,5000,-4.33163073969,7
-2.17287331914025,-2.56024824387124,-1.78549839440926,3,AIPW,all,5000,-4.33163073969,7
0.271235244553361,0.241964631274162,0.298101671870788,1,auDRI,all,5000,0.252656370538,8
0.268101259365074,0.245195479764272,0.291007038965876,1,AIPW,all,5000,0.252656370538,8
0.275374705832078,0.247206697420159,0.305345626226514,2,auDRI,all,5000,0.252656370538,8
0.271971882339292,0.24493791940159,0.299005845276994,2,AIPW,all,5000,0.252656370538,8
0.272719549622499,0.245649806508472,0.296036960230795,3,auDRI,all,5000,0.252656370538,8
0.270038796785438,0.246206673851672,0.293870919719205,3,AIPW,all,5000,0.252656370538,8
-0.400259597970911,-0.424479470118484,-0.375231563332406,1,auDRI,all,5000,-0.393597979378,9
-0.399788623547669,-0.426316883432676,-0.373260363662663,1,AIPW,all,5000,-0.393597979378,9
-0.39661555982953,-0.443342544189267,-0.353501490593978,2,auDRI,all,5000,-0.393597979378,9
-0.389218853722565,-0.43432310674349,-0.344114600701641,2,AIPW,all,5000,-0.393597979378,9
-0.400462638223489,-0.427037320416151,-0.373781059338732,3,auDRI,all,5000,-0.393597979378,9
-0.401255360777355,-0.427427631773716,-0.375083089780995,3,AIPW,all,5000,-0.393597979378,9
-1.54903699828353,-1.67447896173237,-1.36313690487142,1,auDRI,all,5000,-1.42081837405,10
-1.41332390983371,-1.45327571389629,-1.37337210577113,1,AIPW,all,5000,-1.42081837405,10
-1.14161222850521,-1.34795089219631,-0.938844325133405,2,auDRI,all,5000,-1.42081837405,10
-1.24688683864794,-1.33551068556892,-1.15826299172696,2,AIPW,all,5000,-1.42081837405,10
-1.46153360157138,-1.51394148074984,-1.41530792821494,3,auDRI,all,5000,-1.42081837405,10
-1.43319584274211,-1.4889345995955,-1.37745708588871,3,AIPW,all,5000,-1.42081837405,10
2.34643974745008,2.23069521038825,2.48455098457707,1,auDRI,all,5000,2.30225994161,11
2.38347661873538,2.24992946052663,2.51702377694413,1,AIPW,all,5000,2.30225994161,11
2.8836943590952,2.16600582208659,3.57884375697811,2,auDRI,all,5000,2.30225994161,11
2.71365492247125,1.97620790178374,3.45110194315875,2,AIPW,all,5000,2.30225994161,11
2.34626094929736,2.22539330211757,2.47283769522455,3,auDRI,all,5000,2.30225994161,11
2.38489485563351,2.25277017359087,2.51701953767615,3,AIPW,all,5000,2.30225994161,11
0.0500181568160102,0.0268476993109324,0.0720662847653451,1,auDRI,all,5000,0.056951484879,12
0.0483395145641782,0.0265289367877923,0.0701500923405641,1,AIPW,all,5000,0.056951484879,12
0.052041860986663,0.0291449866453854,0.0754987461389865,2,auDRI,all,5000,0.056951484879,12
0.0519354798123047,0.0277560802865018,0.0761148793381076,2,AIPW,all,5000,0.056951484879,12
0.0488805096429976,0.0270888405850477,0.0685332394237207,3,auDRI,all,5000,0.056951484879,12
0.0475470252258437,0.0259733842425069,0.0691206662091805,3,AIPW,all,5000,0.056951484879,12
-0.280424174293022,-0.30064681961854,-0.260442447412873,1,auDRI,all,5000,-0.265898672796,13
-0.278945968841408,-0.299465281145645,-0.258426656537172,1,AIPW,all,5000,-0.265898672796,13
-0.280489201823215,-0.301750577651823,-0.260074459600256,2,auDRI,all,5000,-0.265898672796,13
-0.278782684699064,-0.299340667103093,-0.258224702295034,2,AIPW,all,5000,-0.265898672796,13
-0.27918952344654,-0.299263413357834,-0.259761679677608,3,auDRI,all,5000,-0.265898672796,13
-0.279483507753913,-0.299303050193868,-0.259663965313958,3,AIPW,all,5000,-0.265898672796,13
-0.0286633316989782,-0.0464435975425223,-0.0102026816770365,1,auDRI,all,5000,-0.043786733118,14
-0.0289406474571187,-0.0480318642314131,-0.00984943068282435,1,AIPW,all,5000,-0.043786733118,14
-0.0298218553916627,-0.047476732114987,-0.0101781683779201,2,auDRI,all,5000,-0.043786733118,14
-0.0295922349181432,-0.0486929246615021,-0.0104915451747843,2,AIPW,all,5000,-0.043786733118,14
-0.0285712181482326,-0.047674628977818,-0.011368605389972,3,auDRI,all,5000,-0.043786733118,14
-0.0287793986606847,-0.0476788521683935,-0.00987994515297596,3,AIPW,all,5000,-0.043786733118,14
-2.67193032425713,-2.78139786317367,-2.56767811509375,1,auDRI,all,5000,-2.74354081931,15
-2.68183243406676,-2.7944089991087,-2.56925586902482,1,AIPW,all,5000,-2.74354081931,15
-2.70139915650599,-3.31245145059622,-1.98810369330208,2,auDRI,all,5000,-2.74354081931,15
-2.38951270463597,-2.90221388691744,-1.8768115223545,2,AIPW,all,5000,-2.74354081931,15
-2.6833941498599,-2.79439902530013,-2.57456180920679,3,auDRI,all,5000,-2.74354081931,15
-2.67988911839437,-2.79282014066221,-2.56695809612652,3,AIPW,all,5000,-2.74354081931,15
-0.0694442677027522,-0.0895734698127856,-0.0481584789418821,1,auDRI,all,5000,-0.0745943010295,16
-0.0691539461411845,-0.0900279072625288,-0.0482799850198402,1,AIPW,all,5000,-0.0745943010295,16
-0.0697686379200632,-0.0938822272135125,-0.0460220303481714,2,auDRI,all,5000,-0.0745943010295,16
-0.0696784749899747,-0.094172091513314,-0.0451848584666355,2,AIPW,all,5000,-0.0745943010295,16
-0.0694947607189736,-0.0895315508348579,-0.0487645753606711,3,auDRI,all,5000,-0.0745943010295,16
-0.0689107432620443,-0.0896897393356509,-0.0481317471884378,3,AIPW,all,5000,-0.0745943010295,16
0.0736813345914154,0.0507030737674375,0.0992606144855064,1,auDRI,all,5000,0.0543399041333,17
0.0735468866067049,0.0484064876760031,0.0986872855374067,1,AIPW,all,5000,0.0543399041333,17
0.0733669660712487,0.0486233792119582,0.098003004987535,2,auDRI,all,5000,0.0543399041333,17
0.0733941854128782,0.04790376960931,0.0988846012164464,2,AIPW,all,5000,0.0543399041333,17
0.0741571727538652,0.0490444338103889,0.0981428503801757,3,auDRI,all,5000,0.0543399041333,17
0.0744518357044638,0.0493287057077962,0.0995749657011315,3,AIPW,all,5000,0.0543399041333,17
24691.9608404888,15096.7391777513,37015.3297610705,1,auDRI,all,5000,-4.7503987567,18
25244.8574562311,13704.2282368404,36785.4866756218,1,AIPW,all,5000,-4.7503987567,18
45197.3886221502,20297.9003380744,68644.8847054909,2,auDRI,all,5000,-4.7503987567,18
45898.1544577683,24310.383278471,67485.9256370656,2,AIPW,all,5000,-4.7503987567,18
24689.6584307883,13741.9315122151,37018.1820729364,3,auDRI,all,5000,-4.7503987567,18
26162.5565343499,14084.8687243726,38240.2443443271,3,AIPW,all,5000,-4.7503987567,18
86196.634908945,74196.3231685161,98204.1887333696,1,auDRI,all,5000,-8.23648081724,19
88042.5885466001,75360.2623758106,100724.91471739,1,AIPW,all,5000,-8.23648081724,19
182823.909402987,157306.436433279,211244.904422452,2,auDRI,all,5000,-8.23648081724,19
180350.965924679,164827.990394861,195873.941454498,2,AIPW,all,5000,-8.23648081724,19
86214.904113293,74190.2074539851,99734.2257094168,3,auDRI,all,5000,-8.23648081724,19
88593.0118572838,75683.3648522758,101502.658862292,3,AIPW,all,5000,-8.23648081724,19
19316.0915066177,17650.8805235121,21102.5100815029,1,auDRI,all,5000,-8.52685358046,20
19328.5927046396,17536.9894157606,21120.1959935185,1,AIPW,all,5000,-8.52685358046,20
21777.3111086983,19631.4899507501,24079.7555792064,2,auDRI,all,5000,-8.52685358046,20
24123.7148352747,22210.1596609144,26037.2700096351,2,AIPW,all,5000,-8.52685358046,20
19316.0475581628,17479.6142508957,21108.3935468943,3,auDRI,all,5000,-8.52685358046,20
19325.7549920288,17534.0954680944,21117.4145159633,3,AIPW,all,5000,-8.52685358046,20
0.612742784624019,0.512945522575881,0.668509579749558,1,auDRI,all,5000,0.5247794184,21
0.523630965134067,0.514610016961592,0.532651913306543,1,AIPW,all,5000,0.5247794184,21
0.511526066299357,0.492892036709895,0.530619101627281,2,auDRI,all,5000,0.5247794184,21
0.520294897670455,0.510741124573241,0.529848670767669,2,AIPW,all,5000,0.5247794184,21
0.522048380054688,0.512700550018133,0.531922661690039,3,auDRI,all,5000,0.5247794184,21
0.522522033842304,0.512819700752874,0.532224366931733,3,AIPW,all,5000,0.5247794184,21
2.33575654136596,2.32316124340335,2.34847601040296,1,auDRI,all,5000,2.33477681663,22
2.33545900663993,2.32760174906664,2.34331626421323,1,AIPW,all,5000,2.33477681663,22
2.33347509354109,2.31578799281193,2.35043892951903,2,auDRI,all,5000,2.33477681663,22
2.33424922489347,2.32323351566174,2.34526493412519,2,AIPW,all,5000,2.33477681663,22
2.33742954162565,2.32407989732021,2.34953517248319,3,auDRI,all,5000,2.33477681663,22
2.33669139935417,2.3242853618264,2.34909743688194,3,AIPW,all,5000,2.33477681663,22
0.68569381580046,0.595577204625892,0.773978986437716,1,auDRI,all,5000,0.665467832745,23
0.713535596029116,0.154001547541945,1.27306964451629,1,AIPW,all,5000,0.665467832745,23
1.83809587729444,-4.35070909804663,8.24050280610989,2,auDRI,all,5000,0.665467832745,23
1.18500332041382,-4.92489915804428,7.29490579887192,2,AIPW,all,5000,0.665467832745,23
0.653674811276978,0.570973596201702,0.733876018456718,3,auDRI,all,5000,0.665467832745,23
0.815487880199886,0.238986971396518,1.39198878900325,3,AIPW,all,5000,0.665467832745,23
0.864396668890199,0.846380784939892,0.885401791243171,1,auDRI,all,5000,0.866592490801,24
0.872522460084749,0.861213761553617,0.883831158615881,1,AIPW,all,5000,0.866592490801,24
0.88464087069097,0.842474830956171,0.928720432631551,2,auDRI,all,5000,0.866592490801,24
0.908287193962894,0.884601912574408,0.931972475351379,2,AIPW,all,5000,0.866592490801,24
0.867400600859897,0.856886100000992,0.877400448766592,3,auDRI,all,5000,0.866592490801,24
0.877719666973266,0.866372478331943,0.88906685561459,3,AIPW,all,5000,0.866592490801,24
1.71198249234522,1.69287030709348,1.73232216793819,1,auDRI,all,5000,1.7177491876,25
1.70691558299811,1.69496550509028,1.71886566090594,1,AIPW,all,5000,1.7177491876,25
1.65085568707114,1.51515400131793,1.75067023294199,2,auDRI,all,5000,1.7177491876,25
1.6722516266646,1.63676250809321,1.70774074523599,2,AIPW,all,5000,1.7177491876,25
1.71244879665118,1.70058787789417,1.72470963940281,3,auDRI,all,5000,1.7177491876,25
1.7046534347671,1.69158548696868,1.71772138256552,3,AIPW,all,5000,1.7177491876,25
1.32424282015029,1.30221993285087,1.3484102518234,1,auDRI,all,5000,1.32885974175,26
1.31090537195736,1.30423014708472,1.31758059683001,1,AIPW,all,5000,1.32885974175,26
1.26022939959135,1.21945665446762,1.29271259073268,2,auDRI,all,5000,1.32885974175,26
1.17315539296468,1.16249541354187,1.18381537238749,2,AIPW,all,5000,1.32885974175,26
1.33662583275473,1.32533673604463,1.34740147481766,3,auDRI,all,5000,1.32885974175,26
1.31012790206979,1.30114230124329,1.3191135028963,3,AIPW,all,5000,1.32885974175,26
2.9243590273284,2.90370377578108,2.94409022029641,1,auDRI,all,5000,2.92518019904,27
2.91777348542024,2.90769526472661,2.92785170611386,1,AIPW,all,5000,2.92518019904,27
2.91256745648102,2.88631851909358,2.934974298388,2,auDRI,all,5000,2.92518019904,27
2.91276584283301,2.89701864091441,2.9285130447516,2,AIPW,all,5000,2.92518019904,27
2.91629847869405,2.90625143938222,2.92617266656727,3,auDRI,all,5000,2.92518019904,27
2.91598045348499,2.90551982993008,2.9264410770399,3,AIPW,all,5000,2.92518019904,27
-0.388254936071176,-0.402167612398703,-0.374688874020509,1,auDRI,all,5000,-0.392706397538,28
-0.389566084748447,-0.402318172533774,-0.37681399696312,1,AIPW,all,5000,-0.392706397538,28
-0.396757950485151,-0.411302637603774,-0.381534511396892,2,auDRI,all,5000,-0.392706397538,28
-0.391170646521998,-0.40420690939768,-0.378134383646316,2,AIPW,all,5000,-0.392706397538,28
-0.393700541957751,-0.406653982848391,-0.379679143385266,3,auDRI,all,5000,-0.392706397538,28
-0.390937209859467,-0.40348759709429,-0.378386822624645,3,AIPW,all,5000,-0.392706397538,28
-0.0715790724536277,-0.0863122284956371,-0.05559152137389,1,auDRI,all,5000,-0.0696809346329,29
-0.0719427230253637,-0.0883992501504316,-0.0554861959002959,1,AIPW,all,5000,-0.0696809346329,29
-0.0723456830610611,-0.0927566931116038,-0.0533349361510999,2,auDRI,all,5000,-0.0696809346329,29
-0.07246495402568,-0.0917245107506842,-0.0532053973006759,2,AIPW,all,5000,-0.0696809346329,29
-0.0716481998656692,-0.0884417675103301,-0.0557341657421182,3,auDRI,all,5000,-0.0696809346329,29
-0.0720391245993344,-0.088386355331544,-0.0556918938671247,3,AIPW,all,5000,-0.0696809346329,29
-0.316619948396333,-0.347341118618969,-0.292537223068339,1,auDRI,all,5000,-0.299288067812,30
-0.303341051232628,-0.315994595302454,-0.290687507162802,1,AIPW,all,5000,-0.299288067812,30
-0.328605396003426,-0.368032109995086,-0.298804323618065,2,auDRI,all,5000,-0.299288067812,30
