estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
-15829.821349983,-16834.1185444523,-14014.0146298982,1,auDRI,all,2675,-13856.3724964037,0
-14061.4277595235,-14782.6019656748,-13340.2535533723,1,AIPW,all,2675,-13856.3724964037,0
-15812.3642825694,-16823.4668235657,-13571.0702942207,2,auDRI,all,2675,-13856.3724964037,0
-14146.8276089177,-14886.8779893162,-13406.7772285192,2,AIPW,all,2675,-13856.3724964037,0
-14018.7505377996,-15443.4342553681,-12200.3612838718,3,auDRI,all,2675,-13856.3724964037,0
-14024.0973339285,-15518.3740613855,-12529.8206064715,3,AIPW,all,2675,-13856.3724964037,0
-11476.4519468823,-12804.5387140348,-10314.8699498681,1,auDRI,all,2675,-13811.5668200566,1
-12389.8800616248,-13109.3733735956,-11670.386749654,1,AIPW,all,2675,-13811.5668200566,1
-13015.0125590084,-14628.8734170978,-11548.7074749935,2,auDRI,all,2675,-13811.5668200566,1
-14350.9894973333,-15124.9181503496,-13577.060844317,2,AIPW,all,2675,-13811.5668200566,1
-12602.2766224783,-13701.9533159392,-11441.0709471527,3,auDRI,all,2675,-13811.5668200566,1
-12431.5979769047,-13688.0812212857,-11175.1147325237,3,AIPW,all,2675,-13811.5668200566,1
-13759.8580841867,-14717.4631475968,-12825.6545223802,1,auDRI,all,2675,-13880.0255819769,2
-13958.4685246233,-14639.8482317738,-13277.0888174727,1,AIPW,all,2675,-13880.0255819769,2
-13773.3985043661,-14761.5805660137,-12743.4985030845,2,auDRI,all,2675,-13880.0255819769,2
-14062.1978780668,-14772.5734436547,-13351.8223124789,2,AIPW,all,2675,-13880.0255819769,2
-13916.7755628959,-14995.8647488447,-12819.6207903886,3,auDRI,all,2675,-13880.0255819769,2
-13859.2339362522,-14982.9662420232,-12735.5016304812,3,AIPW,all,2675,-13880.0255819769,2
-13610.540159504,-14693.2839419741,-12363.522883619,1,auDRI,all,2675,-13422.9430216407,3
-13483.745993675,-14210.0938104738,-12757.3981768762,1,AIPW,all,2675,-13422.9430216407,3
-13898.9106370597,-15247.4114905247,-12437.924151718,2,auDRI,all,2675,-13422.9430216407,3
-13844.1017533734,-14593.7452530862,-13094.4582536606,2,AIPW,all,2675,-13422.9430216407,3
-13494.218191165,-14955.5823866504,-11770.5029134868,3,auDRI,all,2675,-13422.9430216407,3
-13475.8591828149,-15092.5434518369,-11859.174913793,3,AIPW,all,2675,-13422.9430216407,3
-12951.2486858633,-14101.0581768857,-11672.4939722092,1,auDRI,all,2675,-13357.1502992138,4
-12830.219037856,-13553.4520657036,-12106.9860100084,1,AIPW,all,2675,-13357.1502992138,4
-12856.0321779518,-14191.69514342,-11325.8185996274,2,auDRI,all,2675,-13357.1502992138,4
-12857.0158783863,-13609.7572388959,-12104.2745178767,2,AIPW,all,2675,-13357.1502992138,4
-12582.8321017094,-14238.333542421,-10907.7267356524,3,auDRI,all,2675,-13357.1502992138,4
-12591.8678468984,-14321.8094386145,-10861.9262551823,3,AIPW,all,2675,-13357.1502992138,4
