estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
-14979.0267682991,-16976.124437819,-12630.9636500163,1,auDRI,all,2675,-13856.3724964037,0
-14028.7345041485,-14802.422799949,-13255.046208348,1,AIPW,all,2675,-13856.3724964037,0
-14433.1917340103,-16108.4950984628,-12447.8871955856,2,auDRI,all,2675,-13856.3724964037,0
-14067.7736285577,-14824.8214723551,-13310.7257847602,2,AIPW,all,2675,-13856.3724964037,0
-13885.4447042542,-15387.9087872194,-11585.1397783665,3,auDRI,all,2675,-13856.3724964037,0
-13939.6043429974,-15453.4969016231,-12425.7117843717,3,AIPW,all,2675,-13856.3724964037,0
-12971.4542290948,-14883.5238056131,-10895.3253656646,1,auDRI,all,2675,-13811.5668200566,1
-11747.6392969731,-12777.0658974278,-10718.2126965184,1,AIPW,all,2675,-13811.5668200566,1
-13771.4649731011,-15265.3273540399,-11724.0838067747,2,auDRI,all,2675,-13811.5668200566,1
-13935.9845295364,-14995.6431722791,-12876.3258867938,2,AIPW,all,2675,-13811.5668200566,1
-13654.3814644505,-15138.7162033486,-11910.0208727067,3,auDRI,all,2675,-13811.5668200566,1
-11791.6190125274,-13072.1965898783,-10511.0414351765,3,AIPW,all,2675,-13811.5668200566,1
-14801.7783268711,-16017.7624497637,-13345.3399777852,1,auDRI,all,2675,-13880.0255819769,2
-13928.6503779141,-14621.633983451,-13235.6667723772,1,AIPW,all,2675,-13880.0255819769,2
-14932.9559205671,-16086.6615825519,-13668.8218375284,2,auDRI,all,2675,-13880.0255819769,2
-14084.007056966,-14806.3136556073,-13361.7004583247,2,AIPW,all,2675,-13880.0255819769,2
-13696.1612065626,-14862.0865159157,-12344.3843452229,3,auDRI,all,2675,-13880.0255819769,2
-13825.5796744567,-14943.7358403206,-12707.4235085927,3,AIPW,all,2675,-13880.0255819769,2
-14106.6180166455,-15958.3071723167,-12376.5477295586,1,auDRI,all,2675,-13422.9430216407,3
-13943.971618191,-14698.7105856599,-13189.232650722,1,AIPW,all,2675,-13422.9430216407,3
-14191.5831624934,-15740.0122573642,-12651.350618968,2,auDRI,all,2675,-13422.9430216407,3
-13806.9766091478,-14571.5601729145,-13042.393045381,2,AIPW,all,2675,-13422.9430216407,3
-13875.1697314904,-15366.8583250509,-12062.5359871052,3,auDRI,all,2675,-13422.9430216407,3
-14024.2063975335,-15664.6801744289,-12383.7326206381,3,AIPW,all,2675,-13422.9430216407,3
-13198.2576180012,-14623.0971750701,-12060.5308353636,1,auDRI,all,2675,-13357.1502992138,4
-14075.7566571087,-14876.9316565338,-13274.5816576835,1,AIPW,all,2675,-13357.1502992138,4
-13287.1152747064,-14455.2905121619,-11492.0394039511,2,auDRI,all,2675,-13357.1502992138,4
-12780.2317058512,-13600.2572560924,-11960.2061556101,2,AIPW,all,2675,-13357.1502992138,4
-13886.0157626449,-15348.7098115203,-12259.8197834784,3,auDRI,all,2675,-13357.1502992138,4
-14028.6819283428,-15777.8341693217,-12279.5296873639,3,AIPW,all,2675,-13357.1502992138,4
-9217.61231079727,-13878.1547833837,2981.78731168399,1,auDRI,all,2675,-12922.8244375327,5
6990.66769124285,5920.91332609894,8060.42205638676,1,AIPW,all,2675,-12922.8244375327,5
-12554.188434693,-14336.8337427909,-10593.4568250532,2,auDRI,all,2675,-12922.8244375327,5
-11845.7229731115,-12877.4149628571,-10814.030983366,2,AIPW,all,2675,-12922.8244375327,5
-8585.31603438767,-13304.7170461421,3574.88492502338,3,auDRI,all,2675,-12922.8244375327,5
7208.80111500044,5165.79340608513,9251.80882391574,3,AIPW,all,2675,-12922.8244375327,5
-12514.7445658155,-14471.3386565515,-10672.0066682196,1,auDRI,all,2675,-13823.1967248003,6
-13468.8499853839,-14396.5543547339,-12541.1456160338,1,AIPW,all,2675,-13823.1967248003,6
-12959.3317194265,-14527.7467114227,-11360.2843997693,2,auDRI,all,2675,-13823.1967248003,6
-13704.3723966705,-14654.3424175906,-12754.4023757504,2,AIPW,all,2675,-13823.1967248003,6
-13641.7717980331,-15150.6806331496,-11867.8683274671,3,auDRI,all,2675,-13823.1967248003,6
-13501.9953715273,-15122.8650346471,-11881.1257084074,3,AIPW,all,2675,-13823.1967248003,6
-13563.7034444365,-16425.2124357427,-8499.53246246937,1,auDRI,all,2675,-13007.2380565783,7
-13353.6752940662,-14354.8829303275,-12352.4676578049,1,AIPW,all,2675,-13007.2380565783,7
-13683.1124852294,-16721.9026300915,-8343.64048570189,2,auDRI,all,2675,-13007.2380565783,7
-12541.0481698262,-13566.0802470927,-11516.0160925597,2,AIPW,all,2675,-13007.2380565783,7
-13230.3311707768,-14779.8859930115,-11286.3089783969,3,auDRI,all,2675,-13007.2380565783,7
-13301.8453519148,-15278.3003056194,-11325.3903982101,3,AIPW,all,2675,-13007.2380565783,7
-11847.5923869059,-14112.9503051936,-8745.88769263445,1,auDRI,all,2675,-13258.6062172916,8
-12919.2689401496,-13737.7820735021,-12100.7558067971,1,AIPW,all,2675,-13258.6062172916,8
-12010.3004746895,-14058.5529921089,-9312.66221014415,2,auDRI,all,2675,-13258.6062172916,8
-13283.7552475999,-14130.6790383752,-12436.8314568245,2,AIPW,all,2675,-13258.6062172916,8
-12711.724923563,-14388.9147538258,-10738.1562846473,3,auDRI,all,2675,-13258.6062172916,8
-12879.099094763,-14357.6793250283,-11400.5188644978,3,AIPW,all,2675,-13258.6062172916,8
-14403.1092073125,-15694.9806440853,-13021.7251605475,1,auDRI,all,2675,-13162.4786195873,9
-14194.8833904313,-14910.7501337405,-13479.0166471221,1,AIPW,all,2675,-13162.4786195873,9
-14315.3489399613,-15694.3313412969,-12932.3309023126,2,auDRI,all,2675,-13162.4786195873,9
-13952.2541954052,-14697.9989097143,-13206.5094810962,2,AIPW,all,2675,-13162.4786195873,9
-13939.2564629035,-15161.2752189955,-12464.5308455282,3,auDRI,all,2675,-13162.4786195873,9
-14011.4176797866,-15408.8487779783,-12613.986581595,3,AIPW,all,2675,-13162.4786195873,9
-13994.8073873459,-15494.0997929128,-12668.3943695615,1,auDRI,all,2675,-13273.4765718426,10
-14464.1264690196,-15210.4646353103,-13717.7883027289,1,AIPW,all,2675,-13273.4765718426,10
-13942.1887370454,-15374.3228671277,-12716.0942889276,2,auDRI,all,2675,-13273.4765718426,10
-14466.7780062964,-15224.9586776397,-13708.597334953,2,AIPW,all,2675,-13273.4765718426,10
-14485.3724508388,-15472.8466044077,-13429.9290223279,3,auDRI,all,2675,-13273.4765718426,10
-14419.1758115219,-15569.3166407094,-13269.0349823344,3,AIPW,all,2675,-13273.4765718426,10
-13376.6361963009,-15357.8394015804,-11004.0386664229,1,auDRI,all,2675,-12952.8421773589,11
-11866.0264953435,-12644.63109466,-11087.4218960271,1,AIPW,all,2675,-12952.8421773589,11
-13635.6571593893,-15459.2750709474,-11183.9826639519,2,auDRI,all,2675,-12952.8421773589,11
-12180.4449157339,-12968.2428379266,-11392.6469935412,2,AIPW,all,2675,-12952.8421773589,11
-12278.4522919559,-13774.6929204273,-10584.6016091838,3,auDRI,all,2675,-12952.8421773589,11
-11970.062545683,-13619.5064768511,-10320.6186145149,3,AIPW,all,2675,-12952.8421773589,11
-16013.2214140335,-19244.1891442858,-12303.8435303822,1,auDRI,all,2675,-13182.4948875641,12
-13954.7211652367,-14625.3121119319,-13284.1302185415,1,AIPW,all,2675,-13182.4948875641,12
-16150.5258457392,-19333.8489814178,-12340.4446958081,2,auDRI,all,2675,-13182.4948875641,12
-14107.7856580977,-14810.3960379579,-13405.1752782374,2,AIPW,all,2675,-13182.4948875641,12
-14174.469138587,-15178.5063864572,-13167.0518756255,3,auDRI,all,2675,-13182.4948875641,12
-14033.4711423072,-15076.34615907,-12990.5961255444,3,AIPW,all,2675,-13182.4948875641,12
-14656.9803871363,-16342.7287365606,-13236.2202091661,1,auDRI,all,2675,-13319.6995608809,13
-14343.2175426802,-15125.4648530016,-13560.9702323587,1,AIPW,all,2675,-13319.6995608809,13
-14772.6632878562,-16060.7481163173,-13429.6689032788,2,auDRI,all,2675,-13319.6995608809,13
-13923.9105440492,-14712.9821382799,-13134.8389498186,2,AIPW,all,2675,-13319.6995608809,13
-13825.8606114061,-15067.9848896108,-12316.3083031537,3,auDRI,all,2675,-13319.6995608809,13
-14230.1577621701,-15618.0817289114,-12842.2337954288,3,AIPW,all,2675,-13319.6995608809,13
-12232.337149408,-14279.1812572741,-10650.659066336,1,auDRI,all,2675,-13748.4634417591,14
