estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
-0.0838340075919372,-0.0993836768483265,-0.068233223496469,1,auDRI,all,11984,-0.0693424566088117,0
-0.0842288374989774,-0.100146103645871,-0.0683115713520842,1,AIPW,all,11984,-0.0693424566088117,0
-0.0903255013661856,-0.107079686825929,-0.0735961206817232,2,auDRI,all,11984,-0.0693424566088117,0
-0.091486169167914,-0.108448963803786,-0.0745233745320416,2,AIPW,all,11984,-0.0693424566088117,0
-0.0878666461965345,-0.103570810266778,-0.0732299320328038,3,auDRI,all,11984,-0.0693424566088117,0
-0.0883028567959869,-0.10440374073647,-0.0722019728555035,3,AIPW,all,11984,-0.0693424566088117,0
-0.0630200501766267,-0.0787030285150691,-0.0475613757376194,1,auDRI,all,11984,-0.0612483311081442,1
-0.0624725840331312,-0.0781255559940394,-0.046819612072223,1,AIPW,all,11984,-0.0612483311081442,1
-0.0674946009115983,-0.0832297245830676,-0.0511118413463979,2,auDRI,all,11984,-0.0612483311081442,1
-0.0674390353957741,-0.0843391451643588,-0.0505389256271894,2,AIPW,all,11984,-0.0612483311081442,1
-0.0667826755854047,-0.0817107408356067,-0.0509617528041519,3,auDRI,all,11984,-0.0612483311081442,1
-0.0660510099021594,-0.081682877702217,-0.0504191421021018,3,AIPW,all,11984,-0.0612483311081442,1
-0.0740749804410715,-0.091010734061242,-0.0603452737355832,1,auDRI,all,11984,-0.070260347129506,2
-0.0741519767889595,-0.0898524618805115,-0.0584514916974074,1,AIPW,all,11984,-0.070260347129506,2
-0.0791505011764553,-0.0948503405742466,-0.0634296666851054,2,auDRI,all,11984,-0.070260347129506,2
-0.0797649431646878,-0.0964688139413826,-0.0630610723879929,2,AIPW,all,11984,-0.070260347129506,2
-0.0796910811818029,-0.0952825235443445,-0.0638483330498606,3,auDRI,all,11984,-0.070260347129506,2
-0.0794866861121529,-0.095422904383451,-0.0635504678408549,3,AIPW,all,11984,-0.070260347129506,2
-0.0877633154471531,-0.103102171224778,-0.0718739039553552,1,auDRI,all,11984,-0.0751835781041389,3
-0.0878026865122298,-0.103738862384079,-0.0718665106403806,1,AIPW,all,11984,-0.0751835781041389,3
-0.0929378740791192,-0.109198879649047,-0.07450216540141,2,auDRI,all,11984,-0.0751835781041389,3
-0.0922631859200975,-0.109418598869022,-0.0751077729711731,2,AIPW,all,11984,-0.0751835781041389,3
-0.0920945969972361,-0.107016983443856,-0.0757288692813378,3,auDRI,all,11984,-0.0751835781041389,3
-0.092047599313887,-0.108028879732543,-0.0760663188952305,3,AIPW,all,11984,-0.0751835781041389,3
-0.0787928440105793,-0.0944343556764611,-0.0636480295334833,1,auDRI,all,11984,-0.0704272363150868,4
-0.0784229980428756,-0.0944573554283142,-0.062388640657437,1,AIPW,all,11984,-0.0704272363150868,4
-0.0829232067275011,-0.100170429577985,-0.0656089213260898,2,auDRI,all,11984,-0.0704272363150868,4
-0.0827191403490657,-0.0997256768786265,-0.0657126038195049,2,AIPW,all,11984,-0.0704272363150868,4
-0.0817939696318183,-0.0977628533565032,-0.0657550775249582,3,auDRI,all,11984,-0.0704272363150868,4
-0.08236762590498,-0.0985774268489271,-0.0661578249610329,3,AIPW,all,11984,-0.0704272363150868,4
-0.074853760888492,-0.0901683681355357,-0.0588852026183231,1,auDRI,all,11984,-0.0708444592790387,5
-0.0750251691040293,-0.0907912791556927,-0.059259059052366,1,AIPW,all,11984,-0.0708444592790387,5
-0.0806254627396295,-0.0977031667042164,-0.0644560977663409,2,auDRI,all,11984,-0.0708444592790387,5
-0.0821063358389321,-0.0991066087668254,-0.0651060629110388,2,AIPW,all,11984,-0.0708444592790387,5
-0.0768982664149312,-0.0911998284978493,-0.0612849746581415,3,auDRI,all,11984,-0.0708444592790387,5
-0.0772676593632474,-0.0932195821992392,-0.0613157365272555,3,AIPW,all,11984,-0.0708444592790387,5
-0.0567710406319745,-0.0732812367418871,-0.0413172229812156,1,auDRI,all,11984,-0.0638351134846462,6
-0.0566778452944362,-0.0721527897408068,-0.0412029008480657,1,AIPW,all,11984,-0.0638351134846462,6
-0.0614745079545247,-0.0768112539130509,-0.045751217761234,2,auDRI,all,11984,-0.0638351134846462,6
-0.0609804402333564,-0.0775185949665277,-0.0444422855001851,2,AIPW,all,11984,-0.0638351134846462,6
-0.0606463055039917,-0.0761805298788324,-0.0457529571211858,3,auDRI,all,11984,-0.0638351134846462,6
-0.0605008129760333,-0.0761328462129561,-0.0448687797391105,3,AIPW,all,11984,-0.0638351134846462,6
-0.0616089861750878,-0.0775278795042905,-0.045298590425687,1,auDRI,all,11984,-0.0653371161548732,7
-0.0611803570019097,-0.0767117134705574,-0.0456490005332619,1,AIPW,all,11984,-0.0653371161548732,7
-0.0671266221463229,-0.0832336138495899,-0.0506225153911981,2,auDRI,all,11984,-0.0653371161548732,7
-0.0678444725306921,-0.0844902507092401,-0.051198694352144,2,AIPW,all,11984,-0.0653371161548732,7
-0.0649086301873269,-0.0800556327692854,-0.0495868338198276,3,auDRI,all,11984,-0.0653371161548732,7
-0.0658410607886301,-0.0817265641333219,-0.0499555574439382,3,AIPW,all,11984,-0.0653371161548732,7
-0.0945017882676865,-0.109760815405155,-0.078334851574047,1,auDRI,all,11984,-0.0803571428571429,8
-0.0948217980165215,-0.1104927792359,-0.0791508167971432,1,AIPW,all,11984,-0.0803571428571429,8
-0.099097665834275,-0.115191650185016,-0.0833401130475449,2,auDRI,all,11984,-0.0803571428571429,8
-0.0999733298656049,-0.116844453383704,-0.0831022063475058,2,AIPW,all,11984,-0.0803571428571429,8
-0.0985563583917383,-0.113060188582871,-0.0828322487341095,3,auDRI,all,11984,-0.0803571428571429,8
-0.0990164317725073,-0.114913725018689,-0.0831191385263253,3,AIPW,all,11984,-0.0803571428571429,8
-0.0671465353427042,-0.0829332118562087,-0.0516860564676418,1,auDRI,all,11984,-0.0719292389853138,9
-0.0667539611120153,-0.0825742704188602,-0.0509336518051704,1,AIPW,all,11984,-0.0719292389853138,9
-0.0706944487687823,-0.087467769678365,-0.0549017985950027,2,auDRI,all,11984,-0.0719292389853138,9
-0.0684884284567662,-0.085426042956599,-0.0515508139569334,2,AIPW,all,11984,-0.0719292389853138,9
-0.0700787395098141,-0.0855086899462611,-0.0541201434512046,3,auDRI,all,11984,-0.0719292389853138,9
-0.0697653319195916,-0.0855572406392223,-0.0539734231999609,3,AIPW,all,11984,-0.0719292389853138,9
-0.0738470553752372,-0.0893286192645222,-0.0581046302948748,1,auDRI,all,11984,-0.0725967957276369,10
-0.0733624188698749,-0.0889145728528715,-0.0578102648868784,1,AIPW,all,11984,-0.0725967957276369,10
-0.0779606986743316,-0.0933461605556199,-0.0620444493250028,2,auDRI,all,11984,-0.0725967957276369,10
-0.0777914049817412,-0.0945292632770604,-0.061053546686422,2,AIPW,all,11984,-0.0725967957276369,10
-0.0770974213495468,-0.0921353371142247,-0.0617672209795597,3,auDRI,all,11984,-0.0725967957276369,10
-0.0770408256696792,-0.092745787802946,-0.0613358635364124,3,AIPW,all,11984,-0.0725967957276369,10
-0.0792387466027598,-0.0962770602370735,-0.0646566804605246,1,auDRI,all,11984,-0.0764352469959947,11
-0.0789659203860308,-0.0943976346037075,-0.0635342061683541,1,AIPW,all,11984,-0.0764352469959947,11
-0.0831044597948341,-0.0981856042337689,-0.0666471088375913,2,auDRI,all,11984,-0.0764352469959947,11
-0.0845689943785413,-0.101026262623949,-0.0681117261331333,2,AIPW,all,11984,-0.0764352469959947,11
-0.0818360131017802,-0.0968423599677517,-0.06628430682058,3,auDRI,all,11984,-0.0764352469959947,11
-0.0818240075676714,-0.0974766695635669,-0.066171345571776,3,AIPW,all,11984,-0.0764352469959947,11
-0.0829835735752869,-0.0986301837504076,-0.0687500872968425,1,auDRI,all,11984,-0.0715954606141522,12
-0.0830408963779809,-0.0986651233217856,-0.0674166694341763,1,AIPW,all,11984,-0.0715954606141522,12
-0.0876098757609746,-0.104120164438212,-0.0719081912520969,2,auDRI,all,11984,-0.0715954606141522,12
-0.088423451617152,-0.105258897935443,-0.0715880052988609,2,AIPW,all,11984,-0.0715954606141522,12
-0.0877819520378845,-0.104664479548688,-0.0734013500965165,3,auDRI,all,11984,-0.0715954606141522,12
-0.0878460655886576,-0.103799685162158,-0.0718924460151571,3,AIPW,all,11984,-0.0715954606141522,12
-0.0800266630167932,-0.0968929653352706,-0.0642204889912208,1,auDRI,all,11984,-0.0738484646194927,13
-0.0810600694855489,-0.0966681985883179,-0.0654519403827798,1,AIPW,all,11984,-0.0738484646194927,13
-0.0851431104535362,-0.102488693539337,-0.0693498087690952,2,auDRI,all,11984,-0.0738484646194927,13
-0.0868570063477718,-0.10369979104538,-0.0700142216501636,2,AIPW,all,11984,-0.0738484646194927,13
-0.0846898466372138,-0.100161000409963,-0.0700310739183002,3,auDRI,all,11984,-0.0738484646194927,13
