estimate,CI_left,CI_right,misp,estimator,lrnr,n,ATE,iter
-0.100079639128852,-0.116432804305862,-0.0844227379713333,1,auDRI,all,11984,-0.0693424566088117,0
-0.0994102692511726,-0.116016424079214,-0.0828041144231309,1,AIPW,all,11984,-0.0693424566088117,0
-0.109615090841976,-0.126802799209111,-0.0922696848972157,2,auDRI,all,11984,-0.0693424566088117,0
-0.10939122885406,-0.126642519819272,-0.0921399378888473,2,AIPW,all,11984,-0.0693424566088117,0
-0.0982290480549904,-0.11363235373294,-0.081550301712129,3,auDRI,all,11984,-0.0693424566088117,0
-0.0989002687606581,-0.115383669587421,-0.0824168679338952,3,AIPW,all,11984,-0.0693424566088117,0
-0.0741088934854809,-0.0918741875860447,-0.0591609765553804,1,auDRI,all,11984,-0.0612483311081442,1
-0.0747336921464909,-0.090885070031078,-0.0585823142619038,1,AIPW,all,11984,-0.0612483311081442,1
-0.0807959059419466,-0.0972437839249206,-0.0633054685341831,2,auDRI,all,11984,-0.0612483311081442,1
-0.0821925029327212,-0.0990224971748024,-0.06536250869064,2,AIPW,all,11984,-0.0612483311081442,1
-0.0778072184933391,-0.0932749857748304,-0.0617371841735228,3,auDRI,all,11984,-0.0612483311081442,1
-0.078443228792089,-0.0946090188142748,-0.0622774387699032,3,AIPW,all,11984,-0.0612483311081442,1
-0.0907959657000719,-0.106928116592281,-0.0747577878085188,1,auDRI,all,11984,-0.070260347129506,2
-0.0906399572615642,-0.106895784391853,-0.0743841301312754,1,AIPW,all,11984,-0.070260347129506,2
-0.0968018061304983,-0.113675894016308,-0.0804636203517197,2,auDRI,all,11984,-0.070260347129506,2
-0.0980373378384917,-0.114860255563666,-0.0812144201133175,2,AIPW,all,11984,-0.070260347129506,2
-0.0944161254203833,-0.110685272307681,-0.0774356781180497,3,auDRI,all,11984,-0.070260347129506,2
-0.0946633215405676,-0.110989665134383,-0.0783369779467525,3,AIPW,all,11984,-0.070260347129506,2
-0.100780585349169,-0.117002899231119,-0.084592413978474,1,auDRI,all,11984,-0.0751835781041389,3
-0.100839532377798,-0.117292024167403,-0.0843870405881942,1,AIPW,all,11984,-0.0751835781041389,3
-0.107376863236296,-0.123859890720813,-0.0897726108221499,2,auDRI,all,11984,-0.0751835781041389,3
-0.108673962788455,-0.125771917810805,-0.0915760077661056,2,AIPW,all,11984,-0.0751835781041389,3
-0.101965421409715,-0.117909043461742,-0.0878143727173253,3,auDRI,all,11984,-0.0751835781041389,3
-0.102614812571149,-0.119104738990575,-0.0861248861517227,3,AIPW,all,11984,-0.0751835781041389,3
-0.0890702762341272,-0.106484593831307,-0.0730075528424275,1,auDRI,all,11984,-0.0704272363150868,4
-0.0903420357740936,-0.106830309551437,-0.0738537619967506,1,AIPW,all,11984,-0.0704272363150868,4
-0.097064340044789,-0.11494116221385,-0.0797553190470233,2,auDRI,all,11984,-0.0704272363150868,4
-0.0965810137534614,-0.113745745009506,-0.0794162824974172,2,AIPW,all,11984,-0.0704272363150868,4
-0.0930799897871674,-0.110232297544076,-0.0764013226544507,3,auDRI,all,11984,-0.0704272363150868,4
-0.0955704604553938,-0.112093873519439,-0.0790470473913481,3,AIPW,all,11984,-0.0704272363150868,4
-0.0872917033367307,-0.104551577601993,-0.0709413807754907,1,auDRI,all,11984,-0.0708444592790387,5
-0.0878624331675846,-0.104333651560574,-0.0713912147745954,1,AIPW,all,11984,-0.0708444592790387,5
-0.0958861476024233,-0.112016072436315,-0.0789347335782024,2,auDRI,all,11984,-0.0708444592790387,5
